1985-D006,Davis Cup WG R1: YUG vs AUS,Clay,4,D,19850308,2,100946,,,Slobodan Zivojinovic,R,198,YUG,,,,101138,,,Pat Cash,R,183,AUS,,,,7-5 5-7 10-8 6-4,5,RR,,,,,,,,,,,,,,,,,,,
1985-D006,Davis Cup WG R1: YUG vs AUS,Clay,4,D,19850308,3,101138,,,Pat Cash,R,183,AUS,,,,100701,,,Marko Ostoja,R,175,CRO,,,,6-2 6-0 6-2,5,RR,,,,,,,,,,,,,,,,,,,
1985-D006,Davis Cup WG R1: YUG vs AUS,Clay,4,D,19850308,4,100946,,,Slobodan Zivojinovic,R,198,YUG,,,,100356,,,Paul Mcnamee,R,178,AUS,,,,3-6 6-3 6-3,3,RR,,,,,,,,,,,,,,,,,,,
1985-D007,Davis Cup EUR QF: GRE vs AUT,Clay,4,D,19850614,1,101404,,,Thomas Muster,L,180,AUT,,,,100619,,,George Kalovelonis,R,190,GRE,,,,6-4 6-1 6-1,5,RR,,,,,,,,,,,,,,,,,,,
1985-D007,Davis Cup EUR QF: GRE vs AUT,Clay,4,D,19850614,2,100781,,,Bernhard Pils,R,178,AUT,,,,101448,,,Tasos Bavelas,L,,GRE,,,,4-6 8-6 5-7 6-2 6-2,5,RR,,,,,,,,,,,,,,,,,,,
1985-D007,Davis Cup EUR QF: GRE vs AUT,Clay,4,D,19850614,3,107020,,,Fotis Vazeos,R,,GRE,,,,101233,,,Alex Antonitsch,R,188,AUT,,,,3-6 6-3 6-4,3,RR,,,,,,,,,,,,,,,,,,,
1985-D007,Davis Cup EUR QF: GRE vs AUT,Clay,4,D,19850614,4,100619,,,George Kalovelonis,R,190,GRE,,,,100781,,,Bernhard Pils,R,178,AUT,,,,6-4 6-4,3,RR,,,,,,,,,,,,,,,,,,,
1985-D008,Davis Cup EUR SF: AUT vs ISR,Clay,4,D,19850802,1,101404,,,Thomas Muster,L,180,AUT,,,,101195,,,Amos Mansdorf,R,175,ISR,,,,7-5 1-6 6-3 6-0,5,RR,,,,,,,,,,,,,,,,,,,
1985-D008,Davis Cup EUR SF: AUT vs ISR,Clay,4,D,19850802,2,100515,,,Shlomo Glickstein,R,188,ISR,,,,100781,,,Bernhard Pils,R,178,AUT,,,,6-8 6-4 4-6 6-4 6-1,5,RR,,,,,,,,,,,,,,,,,,,
1985-D008,Davis Cup EUR SF: AUT vs ISR,Clay,4,D,19850802,3,101195,,,Amos Mansdorf,R,175,ISR,,,,100781,,,Bernhard Pils,R,178,AUT,,,,2-6 7-5 6-1 6-2,5,RR,,,,,,,,,,,,,,,,,,,
1985-D008,Davis Cup EUR SF: AUT vs ISR,Clay,4,D,19850802,4,101404,,,Thomas Muster,L,180,AUT,,,,100515,,,Shlomo Glickstein,R,188,ISR,,,,3-6 10-8 6-2,3,RR,,,,,,,,,,,,,,,,,,,
1985-D009,Davis Cup EUR R1: BEL vs BUL,Clay,4,D,19850510,1,100641,,,Jan Van Langendonck,R,,BEL,,,,101236,,,Krassimir Lazarov,R,,BUL,,,,6-2 2-6 6-4 7-5,5,RR,,,,,,,,,,,,,,,,,,,
1985-D009,Davis Cup EUR R1: BEL vs BUL,Clay,4,D,19850510,2,107468,,,Julian Stamatov,R,,BUL,,,,107480,,,Karel Demuynck,R,,BEL,,,,7-5 3-6 6-1 7-9 6-4,5,RR,,,,,,,,,,,,,,,,,,,
1985-D009,Davis Cup EUR R1: BEL vs BUL,Clay,4,D,19850510,3,107480,,,Karel Demuynck,R,,BEL,,,,101236,,,Krassimir Lazarov,R,,BUL,,,,6-3 4-6 6-4 2-6 6-4,5,RR,,,,,,,,,,,,,,,,,,,
1985-D010,Davis Cup EUR QF: DEN vs BEL,Clay,4,D,19850614,1,100824,,,Peter Bastiansen,R,193,DEN,,,,100599,,,Bernard Boileau,R,185,BEL,,,,6-3 5-7 6-4 6-3,5,RR,,,,,,,,,,,,,,,,,,,
1985-D010,Davis Cup EUR QF: DEN vs BEL,Clay,4,D,19850614,2,100725,,,Michael Mortensen,R,188,DEN,,,,100641,,,Jan Van Langendonck,R,,BEL,,,,5-7 1-6 6-1 6-1 6-3,5,RR,,,,,,,,,,,,,,,,,,,
1985-D010,Davis Cup EUR QF: DEN vs BEL,Clay,4,D,19850614,3,100725,,,Michael Mortensen,R,188,DEN,,,,100599,,,Bernard Boileau,R,185,BEL,,,,6-2 6-2,3,RR,,,,,,,,,,,,,,,,,,,
1985-D010,Davis Cup EUR QF: DEN vs BEL,Clay,4,D,19850614,4,100824,,,Peter Bastiansen,R,193,DEN,,,,100641,,,Jan Van Langendonck,R,,BEL,,,,6-3 6-1,3,RR,,,,,,,,,,,,,,,,,,,
1985-D011,Davis Cup AME SF: BRA vs COL,Clay,4,D,19850802,1,100986,,,Dacio Campos,R,185,BRA,,,,106700,,,Carlos Gomez,R,,COL,,,,6-2 6-4 6-1,5,RR,,,,,,,,,,,,,,,,,,,
1985-D011,Davis Cup AME SF: BRA vs COL,Clay,4,D,19850802,2,100795,,,Alvaro Jordan,R,185,COL,,,,100652,,,Cassio Motta,R,180,BRA,,,,5-7 3-6 7-5 6-2 6-2,5,RR,,,,,,,,,,,,,,,,,,,
1985-D011,Davis Cup AME SF: BRA vs COL,Clay,4,D,19850802,3,100986,,,Dacio Campos,R,185,BRA,,,,100795,,,Alvaro Jordan,R,185,COL,,,,6-3 4-6 6-3 6-1,5,RR,,,,,,,,,,,,,,,,,,,
1985-D011,Davis Cup AME SF: BRA vs COL,Clay,4,D,19850802,4,100393,,,Marcos Hocevar,R,185,BRA,,,,110847,,,Luis Arturo Gonzalez,U,,COL,,,,6-0 6-1,3,RR,,,,,,,,,,,,,,,,,,,
1985-D012,Davis Cup AME F: BRA vs MEX,Clay,4,D,19851004,1,101374,,,Leonardo Lavalle,L,188,MEX,,,,100986,,,Dacio Campos,R,185,BRA,,,,6-1 6-3 6-2,5,RR,,,,,,,,,,,,,,,,,,,
1985-D012,Davis Cup AME F: BRA vs MEX,Clay,4,D,19851004,2,101048,,,Francisco Maciel,R,185,MEX,,,,100398,,,Julio Goes,R,180,BRA,,,,6-3 7-5 6-4,5,RR,,,,,,,,,,,,,,,,,,,
1985-D012,Davis Cup AME F: BRA vs MEX,Clay,4,D,19851004,3,101374,,,Leonardo Lavalle,L,188,MEX,,,,100398,,,Julio Goes,R,180,BRA,,,,5-7 6-1 6-1 6-1,5,RR,,,,,,,,,,,,,,,,,,,
1985-D012,Davis Cup AME F: BRA vs MEX,Clay,4,D,19851004,4,101048,,,Francisco Maciel,R,185,MEX,,,,100986,,,Dacio Campos,R,185,BRA,,,,3-6 7-5 6-3,3,RR,,,,,,,,,,,,,,,,,,,
1985-D013,Davis Cup AME QF: VEN vs BRA,Hard,4,D,19850308,1,100393,,,Marcos Hocevar,R,185,BRA,,,,106695,,,Carlos Claverie,R,,VEN,,,,6-3 14-16 6-4 6-4,5,RR,,,,,,,,,,,,,,,,,,,
1985-D013,Davis Cup AME QF: VEN vs BRA,Hard,4,D,19850308,2,100652,,,Cassio Motta,R,180,BRA,,,,101038,,,Alfonso Mora,R,188,VEN,,,,6-1 6-1 7-5,5,RR,,,,,,,,,,,,,,,,,,,
1985-D013,Davis Cup AME QF: VEN vs BRA,Hard,4,D,19850308,3,100221,,,Carlos Kirmayr,R,173,BRA,,,,101038,,,Alfonso Mora,R,188,VEN,,,,6-3 6-3,3,RR,,,,,,,,,,,,,,,,,,,
1985-D013,Davis Cup AME QF: VEN vs BRA,Hard,4,D,19850308,4,100986,,,Dacio Campos,R,185,BRA,,,,106695,,,Carlos Claverie,R,,VEN,,,,6-3 6-3,3,RR,,,,,,,,,,,,,,,,,,,
1985-D014,Davis Cup AME QF: CAN vs CAR,Carpet,4,D,19850308,1,100864,,,Martin Wostenholme,R,183,CAN,,,,100997,,,Roger Smith,R,185,BAH,,,,6-4 9-7 6-3,5,RR,,,,,,,,,,,,,,,,,,,
1985-D014,Davis Cup AME QF: CAN vs CAR,Carpet,4,D,19850308,2,100793,,,Stephane Bonneau,R,188,CAN,,,,107481,,,Karl Hale,R,,JAM,,,,7-9 7-5 6-3 6-4,5,RR,,,,,,,,,,,,,,,,,,,
1985-D014,Davis Cup AME QF: CAN vs CAR,Carpet,4,D,19850308,3,100864,,,Martin Wostenholme,R,183,CAN,,,,107481,,,Karl Hale,R,,JAM,,,,6-4 6-2 7-5,5,RR,,,,,,,,,,,,,,,,,,,
1985-D014,Davis Cup AME QF: CAN vs CAR,Carpet,4,D,19850308,4,100793,,,Stephane Bonneau,R,188,CAN,,,,100997,,,Roger Smith,R,185,BAH,,,,4-6 17-15 6-3,3,RR,,,,,,,,,,,,,,,,,,,
1985-D015,Davis Cup AME SF: CAN vs MEX,Clay,4,D,19850802,1,101048,,,Francisco Maciel,R,185,MEX,,,,100793,,,Stephane Bonneau,R,188,CAN,,,,8-6 4-6 7-5 6-2,5,RR,,,,,,,,,,,,,,,,,,,
1985-D015,Davis Cup AME SF: CAN vs MEX,Clay,4,D,19850802,2,100864,,,Martin Wostenholme,R,183,CAN,,,,101374,,,Leonardo Lavalle,L,188,MEX,,,,7-5 3-6 6-8 8-6 6-2,5,RR,,,,,,,,,,,,,,,,,,,
1985-D015,Davis Cup AME SF: CAN vs MEX,Clay,4,D,19850802,3,101048,,,Francisco Maciel,R,185,MEX,,,,100864,,,Martin Wostenholme,R,183,CAN,,,,6-2 6-3 6-0,5,RR,,,,,,,,,,,,,,,,,,,
1985-D015,Davis Cup AME SF: CAN vs MEX,Clay,4,D,19850802,4,101374,,,Leonardo Lavalle,L,188,MEX,,,,100793,,,Stephane Bonneau,R,188,CAN,,,,12-10 6-1 6-2,5,RR,,,,,,,,,,,,,,,,,,,
1985-D016,Davis Cup WG PO: ITA vs CHI,Clay,4,D,19851004,1,100646,,,Claudio Panatta,R,178,ITA,,,,101105,,,Jose Antonio Fernandez,R,,CHI,,,,6-2 7-5 6-1,5,RR,,,,,,,,,,,,,,,,,,,
1985-D016,Davis Cup WG PO: ITA vs CHI,Clay,4,D,19851004,2,100518,,,Ricardo Acuna,R,175,CHI,,,,100894,,,Francesco Cancellotti,R,183,ITA,,,,6-3 6-2 4-6 2-6 7-5,5,RR,,,,,,,,,,,,,,,,,,,
1985-D016,Davis Cup WG PO: ITA vs CHI,Clay,4,D,19851004,3,100894,,,Francesco Cancellotti,R,183,ITA,,,,101105,,,Jose Antonio Fernandez,R,,CHI,,,,6-1 7-5 6-2,5,RR,,,,,,,,,,,,,,,,,,,
1985-D017,Davis Cup WG R1: CHI vs SWE,Clay,4,D,19850419,1,100417,,,Hans Gildemeister,R,183,CHI,,,,101222,,,Stefan Edberg,R,188,SWE,,,,6-3 2-6 6-4 7-5,5,RR,,,,,,,,,,,,,,,,,,,
1985-D017,Davis Cup WG R1: CHI vs SWE,Clay,4,D,19850419,2,101013,,,Henrik Sundstrom,R,188,SWE,,,,100711,,,Pedro Rebolledo,R,170,CHI,,,,7-9 6-2 6-0 9-7,5,RR,,,,,,,,,,,,,,,,,,,
1985-D017,Davis Cup WG R1: CHI vs SWE,Clay,4,D,19850419,3,101013,,,Henrik Sundstrom,R,188,SWE,,,,100417,,,Hans Gildemeister,R,183,CHI,,,,6-1 3-6 7-5 6-2,5,RR,,,,,,,,,,,,,,,,,,,
1985-D017,Davis Cup WG R1: CHI vs SWE,Clay,4,D,19850419,4,101222,,,Stefan Edberg,R,188,SWE,,,,100711,,,Pedro Rebolledo,R,170,CHI,,,,6-4 4-6 6-2,3,RR,,,,,,,,,,,,,,,,,,,
1985-D018,Davis Cup EUR QF: CHN vs HKG,Clay,4,D,19850308,1,110880,,,Wei You,U,,CHN,,,,107680,,,Mark Bailey,R,,HKG,,,,9-7 6-1 6-3,5,RR,,,,,,,,,,,,,,,,,,,
1985-D018,Davis Cup EUR QF: CHN vs HKG,Clay,4,D,19850308,2,108577,,,Zhao Xie,R,,CHN,,,,106782,,,Colin Grant,R,,HKG,,,,3-6 6-0 6-0 6-2,5,RR,,,,,,,,,,,,,,,,,,,
1985-D018,Davis Cup EUR QF: CHN vs HKG,Clay,4,D,19850308,3,110880,,,Wei You,U,,CHN,,,,106782,,,Colin Grant,R,,HKG,,,,3-6 2-6 6-1 8-6 6-3,5,RR,,,,,,,,,,,,,,,,,,,
1985-D018,Davis Cup EUR QF: CHN vs HKG,Clay,4,D,19850308,4,107680,,,Mark Bailey,R,,HKG,,,,108577,,,Zhao Xie,R,,CHN,,,,6-3 7-5,3,RR,,,,,,,,,,,,,,,,,,,
1985-D019,Davis Cup EUR SF: NZL vs CHN,Hard,4,D,19850510,1,103993,,,Chris Lewis,U,,GBR,,,,110880,,,Wei You,U,,CHN,,,,6-1 6-2 6-4,5,RR,,,,,,,,,,,,,,,,,,,
1985-D019,Davis Cup EUR SF: NZL vs CHN,Hard,4,D,19850510,2,100326,,,Russell Simpson,R,188,NZL,,,,108577,,,Zhao Xie,R,,CHN,,,,6-4 6-1 6-2,5,RR,,,,,,,,,,,,,,,,,,,
